year,ticket sold(1000),total gross(JPY),total gross (USD),# of screens,Avg. ticket price (yen),Average ticket price (USD),# of new movies released,dollar_ppp,dollar_valuation,Population,Average_wage (Yen),Average_wage (USD)
2012,"155,159","195,190,000,000",2639486139,"3,290",1258,17.01,983,73.95,-5.46,127629000,4205935,56875
2013,"155,888","194,237,000,000",2765726897,"3,318",1246,17.74,1117,70.23,-29.85,127445000,4194768,59729
2014,"161,116","207,034,000,000",2683177812,"3,364",1285,16.65,1184,77.16,-24.00,127276000,4201839,54456
2015,"166,630","217,119,000,000",2810965821,"3,437",1303,16.87,1136,77.24,-37.67,127141000,4214220,54560
2016,"180,189","235,508,000,000",3208555858,"3,472",1307,17.81,1149,73.40,-31.20,126994511,4263647,58088
